,text,lang,id,country,created_at
0,"RT @ThePlumLineGS: The GOP is Trump's party now.

New WaPo poll finds only 36 percent of Americans think Trump's trade war with China will…",en,985568495768358920,,2018-04-15 17:20:15
1,"RT @femigbaja: Dear Constituents,   kindly send your electricity ⚡️tariff complaint alongside a copy of the estimated bill generated by you…",en,985568512684019712,,2018-04-15 17:20:19
2,"RT @RealJack: They said Trump would lose. He won

They said stocks would tank if he won. They rocketed up

They said he’d create a nuclear…",en,985568512742653952,,2018-04-15 17:20:19
3,"RT @JasonHalle: WAR
* War on Syria 
* War on Robert Mueller
* War on the Media
* War on the Poor
* War on the FBI
* War on Trade
* War on t…",en,985568520044982272,,2018-04-15 17:20:20
4,"RT @RealJack: They said Trump would lose. He won

They said stocks would tank if he won. They rocketed up

They said he’d create a nuclear…",en,985568533366132736,,2018-04-15 17:20:23
5,"RT @Education4Libs: Trump: Tax cuts
Liberals: People will die!
Companies: Have a bonus

Trump: Rocket-man
Liberals: Nuclear war!
NK: We'll…",en,985568549895856134,,2018-04-15 17:20:27
6,https://t.co/0QJzJ0fPxm corruption @WSJmarkets @WSJbusiness,en,985568553897164800,,2018-04-15 17:20:28
7,"RT @RealJack: They said Trump would lose. He won

They said stocks would tank if he won. They rocketed up

They said he’d create a nuclear…",en,985568580296159232,,2018-04-15 17:20:35
8,"RT @ThePlumLineGS: The GOP is Trump's party now.

New WaPo poll finds only 36 percent of Americans think Trump's trade war with China will…",en,985568591880900612,,2018-04-15 17:20:37
9,"RT @scottlincicome: ""The U.S. States Most Vulnerable to a Trade War"" https://t.co/lNiDGffS8H via @Visualcap https://t.co/4lUYhMCEWc",en,985568606883729409,,2018-04-15 17:20:41
10,"RT @RealJack: They said Trump would lose. He won

They said stocks would tank if he won. They rocketed up

They said he’d create a nuclear…",en,985568616509820928,,2018-04-15 17:20:43
11,@FareedZakaria The illegal war on Libya was a success? Guess “success” is in the eyes of the beholder. The market f… https://t.co/k07w7CSIKu,en,985568640287227904,,2018-04-15 17:20:49
